q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree
Strongly Agree,Strongly Agree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Strongly Disagree,Agree,Agree,Somewhat agree
Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat disagree,Disagree,Somewhat disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree
Strongly Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,,Somewhat disagree,Somewhat disagree,Disagree
Somewhat disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Agree
Strongly Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat agree
Disagree,Disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Agree,Disagree,Agree
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Agree,Somewhat agree
Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree
Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat disagree,Strongly Agree
Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat agree
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree
Somewhat disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree
Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat disagree,Agree
Disagree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly Agree
Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Disagree,Agree
